,alpaca-13b,koala-13b,vicuna-13b,wizardlm-13b
alpaca-13b,0.5,0.017032714560627937,0.015993673354387283,0.01213274896144867
koala-13b,0.9829672574996948,0.5,0.4840056598186493,0.414789617061615
vicuna-13b,0.9840063452720642,0.5159943699836731,0.5,0.43040451407432556
wizardlm-13b,0.9878672361373901,0.5852104425430298,0.569595456123352,0.5
